Country,Story,Themes,Cluster,Title
United States,"''For me the pandemic has been really challenging, especially during 
lockdowns and in the winter time. All my artistic work as drag queen came to a halt; 
online shows have not been as satisfying. I miss the possibility to go and study in the 
coffee house or  library. Also, the psychological barrier to meeting  is much higher, and 
many people retreat into the private sphere. Moreover, at the beginning of the 
pandemic, there was a strong focus on the patriarchal nuclear family; other family 
concepts and other re ference people were hardly mentioned in the discussion about 
measures and who is allowed to meet. This increased my feeling of isolation.  
Luckily, I was not able to work from home. I work as a social worker in a shelter during 
the night. So, I had a reason to change my location , which was good for me. Then again, 
I rarely met anyone at work either, as there have not been any team meetings. Which 
was a shame.  
 
 
    
 
 
I am enrolled in a study program for social work, which started in autumn 2019. I was 
able to start with in -person classes, so I had the chance to meet my colleagues in real life 
back then. However, then came the pandemic and we all switched to distance le arning, 
which sometimes did not work very well. Eight hours a day, five days a week in a video 
call is really exhausting. Imagine, doing group dynamics in a video call with 50 people! 
This was strenuous. Through distance learning, the laptop, a tool I used  for your 
entertainment and pleasure, became my working tool. And, I didn''t have the chance to 
process the things we discussed in class. The topics we are learning  are really tough, 
such as child abuse and psychiatry. And then these topics stay with you, as you don''t 
change the scenery and cannot  chat with anyone about it. The university offers too little 
in the way of support for us students.  
Overall, the experience is one of isolation. Going for a walk is nice, but you don't get to 
talk to people you don''t know yet. In private life, people are withdrawing more,  and 
more, and online dating apps are mainly about sex, so friendly, social exchange also falls 
by the wayside. So, I am not surprised that around me I see a lot of dysfunctional 
dynamics. Drug consumption  really increased, as did the number of people with 
depression and mental health issues in my surroundings . 
 
As a German citizen, I have quite some privileges compared to other migrants, 
considering my first language is German and that people from North -West Europe are 
often treated better than other migrants. Still, I experienced discrimination though I have 
lived  here for 10 years now. When I am working, I hardly get any homophobic insults. 
But I am regularly insulted due to being perceived as a migrant. As a migrant, you always 
have to work harder, because you don''t know the unwritten rules. Moreover, I miss the 
structures, the institutions such as queer youth centers where you can go. So, in total, I 
experienced my share of exclusion.  
 
To be honest, I think as a queer person I am well prepared. When I grew up, I had to 
come to grips with AIDS as this was always a topic. So being seen as a virus spreader 
and having to get tested is nothing new to me. I learnt back then, by learning about AIDS, 
that it is important to communicate clearly. This helps me right now as well. My usual 
coping strategies to deal with stress don''t work in the pandemic, as I am not able to go 
and work in the coffee house. So, currently I am thinking about going some where else, 
where I can sit outdoors  and meet people. Because I don''t want to live another winter 
like the last one. '''I need more, other input!''  
 
As a social worker I got vaccinated rather early. Here again, the examination of what to 
do about AIDS  helped me to assess the risk. To me it was clear, I want to get the vaccine. 
The first meds against AIDS had a lot of severe side effects '' compared to them, the 
vaccine is harmless. Also, a few years back I had to fight cancer, and compared to the 
chemotherapy  '' it was out of question that I get vaccinated. We actually talked about the 
vaccines in my study program. And we said that a lot went wrong in politics in  the way 
this was communicated. They should not have said that the pandemic is over, this raised 
wrong expectations.  
 
 
   28 
 
 
I want to stress that more queer structures are needed. You could see during the 
pandemic  how fatal this lack of structures is, because people did not know where to turn 
to for help. There hardly have been any self -support groups or contact point for trans 
people. There is no place where you, as a queer person, can go to and don''t have to 
expl ain yourself. This is something the majority society fails to understand.''","['Education', 'Domestic']",1,"I had to fight cancer, and compared"
United States,"''My name is Gerlinde, I am 61 -years old, married and have grown up 
daughter who started her study programme abroad at the beginning of the pandemic. 
I live on the countryside , in a house with a garden , and have to commute for work. I am 
the managing director of a care facility for people with disabilities.  
 
To me the pandemic was '''demanding on all levels'', even though I try to see the positive. 
In my job, the demands increased drastically. Managing the pandemic didn''t make work 
for people with disabilities easier. As managing director, I am responsible for my  co-
workers and the people they  care for. I myself do not provide care for the clients, but I 
see that this has become  much harder for my staff. They are at the limit of their powers  
 
and need a lot of energy to stay positive and not despair. Constantly, people had to 
cancel their shifts, either because their kids or themselves have been in quarantine, or 
because the school or kindergarten closed. Also, the mask mandate made work more 
difficult. You have to know, normally the caregivers would sit at the same table with their 
clients, having  a joint meal. But due to the mask mandate, the caregivers were not 
allowed to join the people they support. This makes things harder, because in our work 
such informal settings are very crucial. Or, when there was the 2G+ rule in place (only 
vaccinated, recovered or PCR -tested people were allowed to meet) '' we had a lot of 
troubles, because we did not get access to the required tests. Before that the 
government would provide us with Anti -Gen tests, also for our clients. But then, 
suddenly, we had to make a lot of appointments in testing facilities. And also get to the 
testing facilities. Something the caregivers had to manage aside from their normal wor k. 
They had to register every single client and go to a pharmacy with every single 
unvaccinated person on a regular basis. '''No one sees, what we have to accomplish.''  
 
At the beginning of the pandemic, we had to keep our facilities open. But no one could 
tell us, how we should do that '' there was no guidance. As a managing director, I had to 
decide by myself on how we manage the risks of the pandemic. All public policies  and 
measures were announced on such  short notice. So it was up to me how to deal with 
that. I had to carry this responsibility by myself. It would have been helpful if we had had 
some clear rules and guidance. Also, it happened rather often '' especially when Covid 
infections numbers were high '' that the people in quarantine did not get their official 
''notification for isolation''. This is hard for me, because then I don''t know if I  am able to 
get the funding for a replacement person, or if I need to ask the staff member to go on 
annual leave, though they are in quarantine.  
 
My staff got some small bonus from the region for their care work and the extra strain 
the pandemic put on them. However, they were rather unhappy about that, because it 
was a really small amount and did not make up for all the troubles they had to deal with. 
It felt more like a mockery than  real recognition for all our accomplishments.  
To deal with the shortage of skilled workers, I asked retired personnel  whether they 
could join us and help us out. I was pleasantly surprised that almost all said yes and 
volunteered. This was a big luck and relief  for me, because they knew how the job goes. 
And it showed me that they actually liked working in my organisation and still feel 
connected to it. Nevertheless, I had to figure out how I can compensate them for their 
work.  
 
A lot of external support disappeared,  and the caregivers had to rescue the situation. 
They had to provide much more relationship building, as people with disabilities have 
been really isolated. All the support structures, such as youth coaching or support from 
the job  centre, just broke off.  '''It will probably be years before we really see all the effects 
of this. In any case, many young people have fallen into the void because the structures 
have collapsed.''  
 
As for vaccination, I am vaccinated, so is the vast majority of my staff. As a line manager, 
 
 
   30 
 
I have to seek a dialogue with the unvaccinated staff. I have they feeling they are under 
immense  pressure and experience this situation as very exhausting as well. Because, it 
is hard for them, if someone else has to fill in for them when they have to go into 
quarantine. Still, I try to convince them to talk to a physician so they can get some well -
founded information. But I try not to put more pressure on them. '''","['Public Space', 'Workplace']",1,I have they feeling they are under
Belgium,"''I am an 86 -year -old retired woman from a small town in Belgium. I have been 
a widow for a few decades,  and I have no children, so apart from a (now ex -) partner  
whom I did not live with, I have mostly been living on my own. I do have a lot of friends 
and acquaintances that I saw frequently, at least before the pandemic, mostly from my 
own age group (65+), but also younger people and relatives. I still live on my own, but I 
do receive help from a local care organisation called ''Familiehulp'' (''Fam ily Assistance'') 
and from a volunteer carer who I''ve known personally for years, as she also used to take 
care of my mother. Besides the fact that my age somewhat affects my ability to do the 
chores and tasks of daily life, I also have a hearing impairment  for which I use a hearing 
aid. 
 
When the pandemic had just started, the people from Familiehulp and the personal 
volunteer kept helping me, while being a lot more careful. They went out grocery 
shopping for me and also served as my main social contacts during the pandemic, as I 
wasn''t ab le to go out with my friends anymore. Shopping  is very useful, but sometimes 
you forget to ask for certain items and then you have to wait a few days before you can 
actually get them. I also haven''t been able to buy any new clothes since March 2020. I 
can''t complain about the general quality of the pe rsonnel from Familiehulp, but because 
they have staff shortages due to Covid  infections, they''re often sending different people 
from one week to the next, which means that I don''t know them very well and I can''t get 
to know them either. Before Covid -19, th ey also used to come at more predictable hours, 
but now it has become quite irregular. That being said, I''m very happy that this 
organisation exists. You do have to pay for it, of course, but it is tied to your income or 
pension level, so I pay a fair pric e. 
 
There is no vaccination centre in my town, so I had to go to the nearest city to get my 
shots. Luckily, my health insurance organises safe transport (a car with plastic dividers 
inside) to and from the centre. You do have to pay for the drivers expenses, which is 
doable for me, but might not be for others with a lower income. A doctor checks up on 
my health every month, but I don't go see any other medical professionals anymore 
unless it is absolutely necessary: for instance, I want to go to a dermatologis t for a minor 
procedure, but it can be postponed until after the Covid  wave.  
 
The most difficult part about the pandemic is the social impact: I rarely see friends in 
person anymore, not only because there are risks involved, but also because finding 
good transport has become more difficult and because the cultural sector has dried up, 
so there is little to do. You do get more phone calls, but there have been a lot of lonely 
evenings. I encounter more difficulties when talking to people in person as well, because 
 
 
   32 
 
they are usually wearing masks which make it harder for me to hear what they are actually 
saying.  
 
I think that, in general, people who are older than 80 years old are not heard enough. 
This applies to all of the politics around Covid , but also to more general trends as well 
(banks closing their physical locations, for instance). We do not have a powerful voice 
and we aren''t making ourselves heard enough. Instead, we usually get younger people 
protesting the Covid  measures, but they don''t seem used to anything. I know you can''t 
convey this to a younger person, but if they had experienced the war they wou ld have a 
different perspective.","['Healthcare', 'Domestic']",1,I know you can''t convey this to
United States,"Ray is a male radiotherapy nurse technologist in an hospital. I am 40 years 
old and I have been working there for seven years in the same unit. I did three years of 
nursing and one year of specialisation in medical imaging and I have just finished a 
master 's degree in medical sciences. I'm not Belgian, I'm Burundian by origin and I've 
been in Belgium for 14 years. I have started like other by being to a reception centre, 
then got my papers and started studying. At the beginning of the crisis, wor king 
conditions were very difficult in the hospitals: no masks were given and if you had one, 
you had to put your name on it, keep it on all day, or write down how many you had 
taken. '''We were sent to the battlefield without ammunition, we had no equipment . We 
had to treat all patients even if they had covid. We work with immunocompromised 
patients so it is also dangerous for them, but we had no protection. We were sent to the 
floors to help without knowing the patient's information. We had colleagues who c aught 
the covid and contaminated the others. As we were short -staffed, we were obliged to 
work even if we had Covid, unless we didn't really standing anymore on our legs. We 
 
depended on the authorities, and when you love what you do you '''sacrifice'' yourself a 
little.  It was really hard.  Today, the situation remains complicated, we can't afford to be 
tested every day. There is nothing organised by the hospital. A fortnight ago, I went to 
the pharmacy to buy a self test  myself, I had to pay for it myself, I was not reimbursed. As 
the test was positive, I was prescribed a PCR test and this confirmed that I had caught 
Covid. I had caught it in hospital, but still I had to pay for  the test myself. I find that the 
hospital could have reimbursed me the 8 euros for the test. The hospital's policy is to 
make you work, you have to have really bad symptoms to stop working. Otherwise, the 
hospital would have to close down due to lack of c aregivers.  They need us. Nobody 
dares to complain to the management because they are afraid of the consequences too.  
We have heard about extra money from the authorities for nurses, but where is it? We 
don't see anything. It's given to the hospitals and we don't see anyone coming to 
reinforce the teams, nothing has changed. What has this money been used for? we are 
given less and less time to care for patients. Before we had 15 minutes, now we are given 
10 minutes, it means that we don't know how to take care of patients properly, we do a 
minimum of cleaning, we don't have time to give them all the information on the services 
available outside the hospital. I don't understand how patients don't rebel, they pay a 
lot for a bad service. There are aspects tha t are totally illogical in this crisis because we 
hear that we have to be careful, to protect ourselves and others and in particular to be 
vaccinated. But when you go home by public transport, we are all on top of each other, 
there is no way to respect the  distances. Today they want to impose vaccination on 
nurses, but we have been exposed to the virus for months without any weapon, without 
protection. I am vaccinated, but I have a colleague who is not and who told me that she 
would leave the profession if vaccination became compulsory for us.  I also work in a 
private testing centre (in a chemistry), and the test costs 32 euros. It's impossible for 
many people to pay that every time he or she wants to do an activity, like going to a 
restaurant. If you have money, you take your car, you pay for the test, but for the others 
who have to take public transport, who have to pay again and again for tests if they want 
to travel, have hobbies or visit a person in hospital.","['Healthcare', 'Workplace']",0,"I am vaccinated, but I have a"
United States,"''I am 34 years old, married and have two children, a 12-year -old girl and a 4-
year -old boy.  
 
I live in Belgium since  3, I didn't study much and I don't speak French very well, but 
I get by.  My husband works and we are lucky because during the crisis the company he 
worked for went bankrupt and he was unemployed for almost a year. It was very difficult, 
the rent is quite expensive, it's increasing, the bills are increasing but the salary is the 
same. It's very difficult for us because if we get 1200 -1300 euros and the rent is 1000 
euros, what do we have left? Nothing at all.  If I have to shop, I always go to the cheapest 
shops ( Aldi, Lidl). Some people can go to the other shops,  but we can't.  
 
Normally, children's studies are free but sometimes we have to pay for homework 
support, school trips. We haven't moved since 2018 because we don't have the money 
to do so and then there were difficulties (her husband is not vaccinated) but anyway we 
don't have the money.  
 
I'm looking for work, if I could find it easily, but I didn't study for it and I have back 
problems, but if I could do some shopping and be useful to people, that would be good. 
At the moment I am stuck with the children at home. I signed up for sewing classes and 
paid for it and then finally it stopped because of covid and for me now it's not possible 
because I'm focused on the children and finding ac commodation. When I get one, I can 
go back to training. As we have everything in a box to be able to move, I don't even have 
the space to use my sewing machine (she shows me later that it is stuck on a table).                                                                                                                                        
 
Children don't have much space here. We were with them all the time, locked in the flat, 
we didn't know what to do with them, they were always watching TV. We can't leave 
them alone because they are still too small,  and the neighbourhood is not safe. My 
children share the same room,  and my daughter was attending classes in her room, the 
little one wanted to play, and she needed silence. It was not easy at all. I hope she finishes 
primary school well, that she will succeed. They say she's doing well. The tea chers were 
available to answer questions, I think it went well for her.   It was quite difficult with the 
little one who wanted to play but there is no one there, his sister has to study, there is a 
big difference in age, we mustn't make noise and he plays  a little with us but it's not 
enough, so he cries. he likes to play with the others but there is no activity, it's difficult. I 
know no one here, even with my sister's kids r, everyone stays at home.  
 
At the moment we are looking for another place to live, because this one has been sold. 
We have to leave in 4 months. We're looking everywhere and we can't find anything with 
three bedrooms and a rent we can afford. I have been registered for social housin g since 
2013 and I am still waiting. They tell me '''we're doing work in the houses '', '''we're making 
progress '' but I don't know when I'll have a new place to live and that makes me anxious. 
I don't want to be in the street with my children.  '''","['Workplace', 'Domestic']",3,"I am 34 years old, married"
United States,"''I am Betty and I am an 89 -year -old woman living with my 89 -year -old 
husband in an apartment in a big Belgian city. I have three children, each with their own 
kids, and I also have one great grandchild, who was born in January 2021. Because I 
have always d one the domestic and child -rearing work, I have never been employed 
and, as a result, I rely on my husband's pension, which is sufficient for us. I still do most 
of the chores around the home, doing the laundry and ironing clothes, cooking dinne r, 
etc. But I do get help cleaning the apartment from a nice woman (sent by a cleaning 
service) every two weeks. We have always really liked to travel and to have dinner in local 
restaurants, but we started doing this less and less due to our advanced age.  The onset 
of the pandemic has caused us to stop doing these activities completely. While it is 
disappointing, it was starting to become a fact of life that we wouldn''t be able to keep 
this up, in any case.  
 
The biggest impact I''ve felt from the pandemic was not being able to see my newly born 
great grandchild nearly as much as I would have liked. Whereas before the pandemic, 
there were regular family gatherings at our apartment or at one of my children''s home s 
for birthdays or Christmas, now we barely see each other. I''ve only been able to see the 
little one three times so far, so I''m missing him growing up and that saddens me.  
 
When the pandemic had just started, the woman who cleans our apartment kept coming 
over at her regular pace, so there was no trouble on that front. For a few years now, we 
are also visited by a physiotherapist every week who helps me with my severe back pa ins. 
He kept visiting during the early stages of the pandemic (and beyond) as well, so luckily 
my pain has not become worse. My husband used to swim regularly at the pool before 
Covid, but the only exercise he gets now is going to the grocery store. About a year ago, 
he was diagnosed with arteriosclerosis, which makes him tired pretty quickly and causes 
him to forget things, so that has made Covid somewhat harder and more frustrating on 
me. 
 
I am, however, very grateful that they managed to develop and provide vaccines so 
quickly, so that we could have people visit more often again. For our first two shots, we 
had to go to a vaccination centre that isn''t so close by, but they did provide us wi th a taxi 
service that cost us only 10 euros to go there and back. Guidance inside the centre was 
very good as well. For the booster shot, however, we had to provide for our own taxi: we 
had to pay 40 euros, which is fine, but I did have to think about all  those elderly people 
 
 
   37 
 
who wouldn''t be able to afford something like that. I''ll gladly get my fourth shot 
whenever I will have to do so, which I suspect is soon. One thing I don''t understand is 
why some young people seem so intensely opposed to the vaccine: back when I was 
younger, we didn''t have nearly the amount of information available about medicine and 
vaccines as we do now, but we still got our injection without really complaining.",['Domestic'],3,"am, however, very grateful that they managed"
Belgium,"''My name is Charlotte. I''m a   -year -old woman from the Philippines, living 
in Belgium. I became undocumented around the time that the pandemic started.  I had 
come to Belgium as a student and  finished my Advanced Master with high distinction. I 
received an offer from a professor to do a Ph D, so I stayed. Legally, students have the 
right to stay in the country they graduated in for 9 months to look for a profession in their 
domain. However, this EU law had not yet been implemented in Belgium, and the 
Belgian bureaucracy was not replying to me . I therefore remained in a legal gray zone. 
It later turned out that my degree was not eligible to be recognized for Ph D funding. It 
was when this happened  that the pandemic also happened. Suddenly, I was 
undocumented during a global health crisis. This was very scary, and I lived in a 
precarious situation because I did not have any income, and I had to pay rent. I did not 
have any support system here. I had  been finding student jobs in manual labor and 
cleaning, but in my position, I couldn''t do it anymore du ring the pandemic.  
 
I did an internship in an NGO, but they paid me the volunteer rate, even though the work 
I was doing was at the level of a staff member. I demanded higher pay, which they did 
for 2 out of 6 months. I had to combine this with other freelance opportunities, that I 
received from my network back home. But there was a lot of uncertainty about my 
income, and a very high workload. Because of the constant anxiety and pressure, I had 
a burnout, and fell into a depression. This worsened when my landlord wanted me to 
move out, and in Belgium it''s difficult to get housing if you don''t have papers. Luckily, he 
allowed me to stay, but this took a heavy toll on me. And there is no break, and you 
constantly fear to be without income or to be ''found out'', even though I didn''t do 
anything wrong. I was applying for jobs, but got rejected a lot, because the skills I had 
from home were not recognized here. This was very bad for me, and the whole context 
gave me suicidal thoughts. I had some support here i n Belgium from my partner and 
 
others, but I needed improvements in my personal situation. But you can''t get papers 
without working, and you can''t work without papers, that doesn''t make sense. Around 
January of 2021, I found job with an international organization. I like the work, and it 
makes me feel valued. But I have to send my wage to the Philippines, and then let m y 
family send me the money, and we pay a lot of fees for that transfer. So, it''s still difficult, 
as long as I don''t get my papers. ''","['Workplace', 'Education']",0,"I was applying for jobs, but got"
Belgium,"''My name is Charlotte. I''m a 33 year old woman living in Belgium from the 
Philippines. After I finished my studies in Belgium, I became undocumented, around the 
time that the pandemic started.  I feared that I wouldn''t be able to access healthcare 
because of my status, or that I would die alone in a hospital in a country that is foreign to 
me. In this time period, I tried to be a student again, but because I didn''t have a legal 
residence status, this was denied and I was told to go home, even tho ugh it is a global 
pandemic,  and the situation was horrible in the Philippines. However, because I already 
known in the system, and because I told the insurance I was going to be a student (which 
I still believed at that point), they gave me insurance. This was good, but I was scared 
that somehow it would not be given anyway if they found out I had no legal status 
anymore. I got a very bad toothache at some point, and I waited 10 days to not go to the 
doctor, until it was too bad.  
 
Later on I found out that you can go to a municipality and ask for a health card that gives 
you basic access to healthcare, even if you are undocumented. But this information is 
not easily available, and it feels like they don''t talk about this on purpose.  As an 
undocumented person, you constantly feel scared to go to any official authorities, 
because you fear negative consequences. You need to show your ID when you want to 
access healthcare, and if you don''t have, you don''t know what will happen, and this 
creates a lot of stress and anxiety. And it was difficult to see people have access to such 
good healthcare, but be excluded from it, not be able to get help for burnout, 
depression, and other health issues.  
 
When the government sent masks to every citizen, I didn''t get anything. I was afraid I was 
going to miss out on the vaccine. Luckily, my partner and his mother called the 
 
 
vaccination center, and because I was already in the system somehow, they allowed me 
to get vaccinated, despite my status. But in Belgium you needed to have a certificate to 
prove your vaccination if you wanted to do things. But because of my status, I couldn''t 
use the digital services to get it. So my partner called and through my old ID number, 
they sent a paper certification. Government services don''t speak English usually, and 
they often can''t help you if you don''t fit in the right box. So, I was lucky to have people 
help me. I hope that your project can think what it means to be undocumented and  help 
undocumented people.''","['Healthcare', 'Domestic']",1,I was going to be a student
Belgium,"''I am Felix and I am a 25-year -old male medical student and general 
practitioner in training. I am currently living with my partner, who is also in the medical 
field, in a (rented) house in a big Belgian city. I started to work/intern as a general 
practitioner as part of my education just before the beginning of the pandemic. While 
this work is formally still part of my education, I do get paid for it, I am able to build up 
my social rights (i.e., pension, unemployment benefits, ...) and I am treated like a normal 
colleague, so it can be co nsidered my first real job.  
 
When Covid started to gain ground in Belgium, a lot of people (temporarily) stopped 
coming to the practice I worked at and, because my supervisor was also responsible for 
the general health situation in a care home for the elderly, I basically started my '' GP'' job 
taking care of Covid -19-infected people living in a care home. I did this for about a 
month and it was hard, but I was in good hands luckily; my supervisor was always there 
to support me, and I could ask for assistance if there was something I was uncertain 
about. I also wasn''t responsible for specific patients, but I helped wherever it was 
needed. It was very impressive how quickly they managed to overhaul the care home: 
the cafeteria was turned into a sick bay and the hairdresser''s area was transformed into 
a makeshift intensive care unit.  
 
Back then, however, we had a very limited supply of face masks and only used the most 
protective ones when around Covid patients. When in other settings, we used the masks 
that were sewn by volunteers in the local area. Because I am young,  I wasn''t too 
concerned about catching the virus, but it still was something that was in the back of your 
mind. Ultimately, I haven''t contracted it to this day. Another problem we dealt with was 
a lack of oxygen, so we had to call around very frequently to  ensure that we h ad enough 
of a supply. It was difficult to see or hear of people passing away: sometimes after the 
weekend was over, you returned to find that some people you had gotten to know a little 
had succumbed to the illness. But in the moment, you don''t have time to dwell on that 
and you just keep going.  
 
A few months later, I graduated  and started an actual GP job/internship at a practice not 
too far from where I live. However, I did start when the second Covid wave was beginning 
to take off and I immediately had to adapt to those circumstances. I got my first real 
responsibilities, but  this was then combined with, for example, ensuring that there is 
always enough ventilation, wearing a mask and face shield, ensuring that the patients 
are allowed to be there (Covid tests were done in dedicated testing centr es at that time), 
etc. Those are all small things, but they add up and give a very different dynamic to a 
normal GP consultation. That''s what I imagine at least, as I haven''t worked in a ''normal'' 
setting yet.  
 
At some point in the fourth wave (fall -winter 2021), the responsibility for Covid testing 
largely fell on GP practices. It became extremely busy then, and it was frustrating to have 
lots of people with very mild symptoms come over and take up a spot that c ould''ve 
otherwise been reserved for people with other issues. Moreover, it has led to a huge 
administrative burden (which was already sizeable before), as we had to provide signed 
certificates to employers stating that people had to isolate themselves  and couldn''t 
make it to work. Right now, in the spring of 2022, the testing responsibility has been 
shifted away again and cases are dropping, so we''re approaching some semblance of 
normalcy, which I haven''t been able to experience yet.''","['Healthcare', 'Public Space']",1,"I got my first real responsibilities, but"
Belgium,"''My name is Donna, I am 61 and come from Southern Europe, but I''ve lived 
in Belgium for 30 years now. In the beginning of Covid, the uncertainty to what this virus 
is was stressful. No good information was available, no idea what could happen. My son, 
who has a disability, was studying in a big city abroad. My first concern when Covid 
started spreading was to see him and to have a plan B if it is serious. When I visited him, 
I saw that it was serious. My son didn''t want to come back to Belgium wi th me, but I didn''t 
want to leave him. In the end, we came home together. It was sad to see that big city so 
quiet.  
 
We managed to come back;  it was a relief but stressful because every small symptom 
could be Covid. This uncertainty was bad. And the idea that I could infect my son was 
horrible, a nightmare. There was a lot of information,  and I didn''t know what to believe; 
for example,  whether to wear a mask or not. The government  said masks don''t help, and 
I followed this advice. And it turned out masks do help. Politicians acted clueless and the 
caretaker government was  communicating badly. I felt that we relaxed and became 
complacent after WW2. No morality or responsibility from our leaders.  
 
At work, I was working with a bad boss, she just didn''t like me. She wasn''t talking to me, 
and cut meetings short with me. And the colleagues were unmotivated and unskilled. I 
had to carry the load for them. This lasted two years, and this ended with a bur nout 
during Covid. Covid enhanced this dynamic, because of teleworking and style of 
working and communication. I stayed in burnout for a year and a few months. Contact 
with the medical insurance was exclusively via phone. They  put me in a reintegration 
scheme, without telling me that it could mean that I could get fired easily without 
compensation. This was a nightmare, I had to look for a job at 61, with fear of losing 
everything. It's horrible to be sick, but to experience this. In the end, I got a job of fer. 
Starting this new job is not easy, but people are nicer. It is more  social, with more 
teamwork. I got used to teleworking, and I like the combination. I got used to the new 
circumstance and use the advantages of teleworking . I don''t feel bad if I work  less to 
relax, because I have given so much already.  
 
During Covid, I was happy to be in a country with good healthcare and social security. 
Even taxes felt fair. But since my son is in a risk group, I tried to ask for help to get 
vaccines early or  get some guarantee that son would get a spot in hospital if necessary, 
and this was not possible. And that was disappointing, because it was medically 
necessary. But this Covid was so bad, that I understand that there was some chaos in 
medical services. T he new government was better and had more active policies.  
 
 
 
   43 
 
Despite hardship, I am glad to have spent time together, experienced  new connection 
with nature, with my son. Hard that my older son was not next to me, very morbid that 
you show love by not touching your family. Small signs of friendship continued in a 
different form, but there was also lack of community in my neighborhood, which is sad.","['Workplace', 'Healthcare']",0,I felt that we relaxed and became
United States,"''I am a 15 -year -old female high school student from Pernik, Bulgaria. I live 
with my mother and my brother. I also spend weekends with my father who lives in the 
capital Sofia. My grandparents live in the nearby block in my hometown, so I see them 
almost e very day when I go to have lunch with them. In my everyday life, I go to school. 
I like to go out with friends, hang around town, and listen to music, and in summer, I like 
to take walks with my dog.  
 
The Covid -19 pandemic and the lockdown that we had because of it in 2020 was tough 
for me. The biggest change for me was that for three months, between March and June 
2020, I spent my time only with my family. I like them, but I missed going to school and 
being wit h my friends. I really missed socializing with people in school and being 
outside. I kept contact with my friends online, and we also sometimes talked on the 
phone, but it wasn't the same. I had the feeling the world is in a big crisis and all my 
family and friends too.  
 
After this strict lockdown in 2020 passed, we started meeting with my friends again. But 
I felt strange to be outside with many people. This still makes me feel very 
uncomfortable. Now in school, when the teacher wants me to examine me in front of the 
class, I get very nervous. I don't like having so many people looking at me. I often can't 
talk, or my voice trembles because I feel like I'm going to say something stupid in front 
of all these people.  
 
School is very difficult when we're online. In 2020/2021, we studied half online, half in 
person. The same is now in the winter of 2021/2022. Distant learning for me is not nice. 
At first, in March 2020, it was impossible. Our teachers had no idea how to u se all these 
digital tools because they are older and haven't worked with computers so much. Many 
of the teachers just sent us written presentations. We had to read and learn from them 
without having online live lessons because they didn't know how to do t his, or didn't 
want to do it. This was in Biology, Geography, and History. In Math it was also difficult 
even though we had online lessons. The teacher didn't have a blackboard to write the 
math problems, so she was only telling them verbally and it was re ally complicated to 
grasp anything. In Physical Education, the teacher was sending us presentations about 
different sports and also some exercises to do at home, but I don't think any of us did 
any of them. I almost didn't move or go out for months. When w e had long periods of 
online learning, I was getting very tired from being at the computer and on my phone 
the whole day. My head was hurting,  and I felt dizzy. Also in 2020 was my last year with 
my previous class and it was very sad we couldn't be together. I think this got us quite 
 
 
   45 
 
distanced from each other afterwards. I know that some of the boys in my class enjoy 
studying at home because they can play video games during the classes and their 
parents won''t know. But I get very distracted at home, and now I also get more easily 
distracted when we are in school too.  
 
I was very happy when we could go back to school in person. But they keep changing 
this because when there are many sick people in the hospitals, they close the schools 
again and we go online. When we have periods in school, some of the parents still want 
to keep their children at home, so even when we have live classes in school, some kids 
are online. The parents are either worried from the virus or they are afraid that if the kid 
gets sick, they will have to stay in quarantine with them too and won''t be a ble to go to 
work and so on.  
 
My family had some troubles during this period too. My mother kept her job, but my 
father couldn''t work during the lockdown and sometime  afterwards, so he had problems 
with money and couldn''t give so much to me. They were both worried and seemed not 
very happy. Also, at one point my grandparents got ill with Covid . My grandfather was 
very sick for a long time and even had to go to the hospital for two weeks. At some point 
I was really scared for him. My mom told me there was no oxygen in the hospital and that 
this was not nice for him. I got sick with Covid  in August 2021 also. We were at the 
seaside with my school class and most of us got ill. The rest of the people were fine, but 
I had a difficult time because I got pneumonia and had to go to the hospital. I was scared 
at first, but then not so much, but s pending time in the hospital was horrible. The 
conditions were bad,  and I couldn''t talk with my friends so much, and the doctors kept 
giving me antibiotics.''","['Education', 'Domestic']",4,I feel like I'm going to say
